zip,lat,lng,source,fetched_at
01453,42.519967,-71.763319,census_gazetteer_2023,2025-09-12 15:25:02.814031
01460,42.535931,-71.490569,census_gazetteer_2023,2025-09-12 15:25:02.814031
01462,42.582607,-71.720464,census_gazetteer_2023,2025-09-12 15:25:02.814031
01463,42.670643,-71.602858,census_gazetteer_2023,2025-09-12 15:25:02.814031
01464,42.573654,-71.640986,census_gazetteer_2023,2025-09-12 15:25:02.814031
01468,42.542767,-72.068345,census_gazetteer_2023,2025-09-12 15:25:02.814031
01469,42.664794,-71.695055,census_gazetteer_2023,2025-09-12 15:25:02.814031
01473,42.5546,-71.90544,census_gazetteer_2023,2025-09-12 15:25:02.814031
01474,42.673143,-71.748378,census_gazetteer_2023,2025-09-12 15:25:02.814031
01475,42.66816,-72.055644,census_gazetteer_2023,2025-09-12 15:25:02.814031
01501,42.198867,-71.845722,census_gazetteer_2023,2025-09-12 15:25:02.814031
01503,42.384929,-71.633889,census_gazetteer_2023,2025-09-12 15:25:02.814031
01504,42.039991,-71.532406,census_gazetteer_2023,2025-09-12 15:25:02.814031
01505,42.355049,-71.716157,census_gazetteer_2023,2025-09-12 15:25:02.814031
01506,42.180807,-72.107888,census_gazetteer_2023,2025-09-12 15:25:02.814031
01507,42.133935,-71.968025,census_gazetteer_2023,2025-09-12 15:25:02.814031
01510,42.411887,-71.690005,census_gazetteer_2023,2025-09-12 15:25:02.814031
01515,42.209682,-72.040178,census_gazetteer_2023,2025-09-12 15:25:02.814031
01516,42.053072,-71.752241,census_gazetteer_2023,2025-09-12 15:25:02.814031
01518,42.108325,-72.113692,census_gazetteer_2023,2025-09-12 15:25:02.814031
01519,42.203404,-71.679739,census_gazetteer_2023,2025-09-12 15:25:02.814031
01520,42.334177,-71.854277,census_gazetteer_2023,2025-09-12 15:25:02.814031
01521,42.046783,-72.180212,census_gazetteer_2023,2025-09-12 15:25:02.814031
01522,42.375634,-71.867382,census_gazetteer_2023,2025-09-12 15:25:02.814031
01523,42.483569,-71.675585,census_gazetteer_2023,2025-09-12 15:25:02.814031
01524,42.246029,-71.917566,census_gazetteer_2023,2025-09-12 15:25:02.814031
01525,42.098995,-71.642964,census_gazetteer_2023,2025-09-12 15:25:02.814031
01527,42.192246,-71.777649,census_gazetteer_2023,2025-09-12 15:25:02.814031
01529,42.036642,-71.578779,census_gazetteer_2023,2025-09-12 15:25:02.814031
01531,42.326183,-72.133431,census_gazetteer_2023,2025-09-12 15:25:02.814031
01532,42.323342,-71.646236,census_gazetteer_2023,2025-09-12 15:25:02.814031
01534,42.138896,-71.645003,census_gazetteer_2023,2025-09-12 15:25:02.814031
01535,42.267564,-72.066876,census_gazetteer_2023,2025-09-12 15:25:02.814031
01536,42.231309,-71.692642,census_gazetteer_2023,2025-09-12 15:25:02.814031
01537,42.158966,-71.897051,census_gazetteer_2023,2025-09-12 15:25:02.814031
01540,42.113727,-71.86085,census_gazetteer_2023,2025-09-12 15:25:02.814031
01541,42.454125,-71.87754,census_gazetteer_2023,2025-09-12 15:25:02.814031
01542,42.204251,-71.908907,census_gazetteer_2023,2025-09-12 15:25:02.814031
01543,42.388285,-71.969865,census_gazetteer_2023,2025-09-12 15:25:02.814031
01545,42.284767,-71.714228,census_gazetteer_2023,2025-09-12 15:25:02.814031
01550,42.059737,-72.033908,census_gazetteer_2023,2025-09-12 15:25:02.814031
01560,42.175395,-71.674223,census_gazetteer_2023,2025-09-12 15:25:02.814031
01561,42.445825,-71.688484,census_gazetteer_2023,2025-09-12 15:25:02.814031
01562,42.247211,-71.991867,census_gazetteer_2023,2025-09-12 15:25:02.814031
01564,42.447924,-71.776045,census_gazetteer_2023,2025-09-12 15:25:02.814031
01566,42.103214,-72.079545,census_gazetteer_2023,2025-09-12 15:25:02.814031
01568,42.177529,-71.606322,census_gazetteer_2023,2025-09-12 15:25:02.814031
01569,42.055921,-71.631128,census_gazetteer_2023,2025-09-12 15:25:02.814031
01570,42.049253,-71.846219,census_gazetteer_2023,2025-09-12 15:25:02.814031
01571,42.053778,-71.935075,census_gazetteer_2023,2025-09-12 15:25:02.814031
01581,42.268426,-71.613309,census_gazetteer_2023,2025-09-12 15:25:02.814031
01583,42.375357,-71.789363,census_gazetteer_2023,2025-09-12 15:25:02.814031
