variant,canonical,source
"KASOWITX, BENSON",KASOWITZ BENSON TORRES,donor_overlap
"GIBSON, DUNN AND CRUTCHER",GIBSON DUNN AND CRUTCHER,donor_overlap
"GIBSON, DUNN, AND CRUTCHER",GIBSON DUNN AND CRUTCHER,donor_overlap
GIBSON. DUNN AND CRUTCHER,GIBSON DUNN AND CRUTCHER,donor_overlap
COZEN O'CONNOR,COZEN OCONNOR,donor_overlap
MORRISONCOHEN,MORRISON COHEN,donor_overlap
GREENBERGTRAURIG,GREENBERG TRAURIG,donor_overlap
"PACHULSKI, STANG, ZIEHL, AND JONES",PACHULSKI STANG ZIEHL AND JONES,donor_overlap
"PACHULSKI, STANG, ZIEHL AND JONES",PACHULSKI STANG ZIEHL AND JONES,donor_overlap
"HERRICK, FEINSTEIN",HERRICK FEINSTEIN,donor_overlap
"GREENBERG, GLUSKER",GREENBERG GLUSKER,donor_overlap
"FISHMAN, BLOCK, DIAMOND",FISHMAN BLOCK DIAMOND,donor_overlap
"FISHMAN, BLOCK DIAMOND",FISHMAN BLOCK DIAMOND,donor_overlap
FISHMAN BLOCK AND DIAMOND,FISHMAN BLOCK DIAMOND,donor_overlap
"FISHMAN, BLOCK AND DIAMOND",FISHMAN BLOCK DIAMOND,donor_overlap
GRAY ROBINSON,GRAYROBINSON,donor_overlap
STERLING RISK,STERLINGRISK,donor_overlap
GLENUNA INVESTMENTS,GLEN UNA INVESTMENTS,donor_overlap
COMPASSLEXECON,COMPASS LEXECON,donor_overlap
BOSTONLAND COMPANY,BOSTON LAND COMPANY,donor_overlap
B VISION,BVISION SPORTSMEDIA,donor_overlap
PULL A PART,PULL-A-PART,donor_overlap
BAKER-TILLY,BAKER TILLY,donor_overlap
S-101 MANAGEMENT,S101 MANAGEMENT,donor_overlap
CEDARS SINAI MEDICAL CENTER,CEDARS-SINAI MEDICAL CENTER,donor_overlap
EDW C. LEVY CO,EDWARD C. LEVY CO,donor_overlap
EDW. C LEVY CO,EDWARD C. LEVY CO,donor_overlap
"EDW, C. LEVY CO",EDWARD C. LEVY CO,donor_overlap
JSHELD,JS HELD,donor_overlap
J.S. HELD,JS HELD,donor_overlap
B.A.G. INVESTMENTS,BAG INVESTMENTS,donor_overlap
"DANIEL J COSGROVE, MD",DANIEL J COSGROVE MD,donor_overlap
"DANIEL J. COSGROVE, MD",DANIEL J COSGROVE MD,donor_overlap
RA COHEN AND ASSOCIATES,R.A. COHEN AND ASSOCIATES,donor_overlap
R.A. COHEN,R.A. COHEN AND ASSOCIATES,donor_overlap
HACKMAN CAPITAL,HACKMAN CAPITAL PARTNERS,donor_overlap
OAKTREE CAPITAL MANAGEMENT,OAKTREE CAPITAL,donor_overlap
OAKTREE CAPITAL MGMT,OAKTREE CAPITAL,donor_overlap
SUTHERLAND CAPITAL MANAGEMENT,SUTHERLAND CAPITAL MGMT. INC.,donor_overlap
SUTHERLAND CAPITAL MGMT,SUTHERLAND CAPITAL MGMT. INC.,donor_overlap
CENTERVIEW PARTNER,CENTERVIEW PARTNERS,donor_overlap
BBR,BBR PARTNERS,donor_overlap
JEMB REALTY CORPORATION,JEMB REALTY,donor_overlap
JEMBREALTY,JEMB REALTY,donor_overlap
IDEAL FASTENER CORPORATION,IDEAL FASTENER,donor_overlap
CORPAC,CORPAC GROUP,donor_overlap
ODEON CAPITAL,ODEON CAPITAL GROUP,donor_overlap
SSP PARTNERS AND ASSOCIATES,SSP PARTNERS,donor_overlap
ACCESSO,ACCESSO PARTNERS,donor_overlap
I AND M J GROSS CO,I AND MJ GROSS CO,donor_overlap
RUSH PROPERTIES,RUSH PROPERTIES MANAGEMENT,donor_overlap
ATLANTIC REALTY COMPANIES,ATLANTIC REALTY ASSOCIATES,donor_overlap
HEALTHSOURCE DISTRIBUTORS,HEALTH SOURCE DISTRIBUTORS,donor_overlap
ACTION BEHAVIOR CENTER,ACTION BEHAVIOR CENTERS,donor_overlap
EMA INVESTMENT,EMA INVESTMENT MANAGEMENT,donor_overlap
NA DESIGN BUILDER,NA DESIGN BUILDERS,donor_overlap
SANTA MONICA PARTNER,SANTA MONICA PARTNERS,donor_overlap
DELTA CHILDREN,DELTA CHILDRENS,donor_overlap
SALTZMAN MUGAN DUSHIFF,SALTZMAN MUGAN DUSHOFF,donor_overlap
ATLANTA PROPERTY GOUP,ATLANTA PROPERTY GROUP,donor_overlap
WHITE PINE CAPITAL MANAGAMENT,WHITE PINE CAPITAL MANAGEMENT,donor_overlap
ALLADAPT IMMUNOTHERPEUTICS,ALLADAPT IMMUNOTHERAPEUTICS,donor_overlap
DELTA ENTERPRISSE,DELTA ENTERPRISE,donor_overlap
ATLANTIC REALTY CONSULTAMTS,ATLANTIC REALTY CONSULTANTS,donor_overlap
SUSSMAN EDUCATIONA,SUSSMAN EDUCATION,donor_overlap
NORTH SQUARE INVEST.COM,NORTH SQUARE INVESTMENTS,donor_overlap
BANK OF AMERICA/ MERRILL,BANK OF AMERICA,donor_overlap
SOUTHERN GLAZERS W AND S,SOUTHERN GLAZER'S WINE AND SPIRITS,donor_overlap
SOUTHERN GLAZERS WINE AND SPIRITS,SOUTHERN GLAZER'S WINE AND SPIRITS,donor_overlap
SOUTHERN GLAZERS,SOUTHERN GLAZER'S WINE AND SPIRITS,donor_overlap
LYNN PINKER HURST,LYNN PINKER HURST SCHWEGMANN,donor_overlap
STUART L DAITCH,STUART L DAITCH DMD,donor_overlap
BROWN AND BROWN,BROWN AND BROWN INSURANCE,donor_overlap
MOS BAGELS AND DELI,MO'S BAGELS AND DELI,donor_overlap
VALLEY HEALTH YSTEM,VALLEY HEALTH SYSTEM,donor_overlap
THE KIOD FROM DOWNUNDER,THE KID FROM DOWNUNDER,donor_overlap
FIR FOR LIFE,FIT FOR LIFE,donor_overlap
MARY'S MERCY CENTER,MARYS MERCY CENTER,donor_overlap
GREEWICH HOSPITAL,GREENWICH HOSPITAL,donor_overlap
EATON STELL BAR COMPANY,EATON STEEL BAR COMPANY,donor_overlap
PREMIER ORTHOPEDICS,PREMIER ORTHOPAEDICS,donor_overlap
"SHAMBER, JOHNSON AND BERGMAN","SHAMBERG, JOHNSON AND BERGMAN",donor_overlap
COREGRO,CORGRO,donor_overlap
CHILVIS GRUBMAN WARNER AND BERRY,CHILIVIS GRUBMAN WARNER AND BERRY,donor_overlap
SCOYYHULSE,SCOTTHULSE,donor_overlap
THE FUNDWOKRS,THE FUNDWORKS,donor_overlap
